display_name_input,display_name_matched,source_id,issn,works_count,host_org
JOURNAL OF HAZARDOUS MATERIALS,Journal of Hazardous Materials,https://openalex.org/S145089992,0304-3894|1873-3336,31257,Elsevier BV
JOURNAL OF HEAD TRAUMA REHABILITATION,Journal of Head Trauma Rehabilitation,https://openalex.org/S48790426,0885-9701|1550-509X,2950,Lippincott Williams & Wilkins
JOURNAL OF HEALTH ECONOMICS,Journal of Health Economics,https://openalex.org/S166621295,0167-6296|1879-1646,2755,Elsevier BV
JOURNAL OF HEALTH POLITICS POLICY AND LAW,Journal of Health Politics Policy and Law,https://openalex.org/S192655146,0361-6878|1527-1927,3442,Duke University Press
JOURNAL OF HEALTH POPULATION AND NUTRITION,Journal of Health Population and Nutrition,https://openalex.org/S151209016,1606-0997|2072-1315,773,BioMed Central
JOURNAL OF HELMINTHOLOGY,Journal of Helminthology,https://openalex.org/S8555896,0022-149X|1475-2697,5221,Cambridge University Press
JOURNAL OF HEMATOLOGY & ONCOLOGY,Journal of Hematology & Oncology,https://openalex.org/S46507181,1756-8722,1782,BioMed Central
JOURNAL OF HEMATOPATHOLOGY,Journal of Hematopathology,https://openalex.org/S36220715,1865-5785|1868-9256,535,Springer Science+Business Media
JOURNAL OF HEPATO-BILIARY-PANCREATIC SCIENCES,Journal of Hepato-Biliary-Pancreatic Sciences,https://openalex.org/S108612764,1868-6974|1868-6982,1907,Wiley
JOURNAL OF HEPATOCELLULAR CARCINOMA,Journal of Hepatocellular Carcinoma,https://openalex.org/S2738374302,2253-5969,394,Dove Medical Press
JOURNAL OF HEPATOLOGY,Journal of Hepatology,https://openalex.org/S83651209,0168-8278|1600-0641,48076,Elsevier BV
JOURNAL OF HERBAL MEDICINE,Journal of Herbal Medicine,https://openalex.org/S184565882,2210-8033|2210-8041,671,Elsevier BV
JOURNAL OF HEREDITY,Journal of Heredity,https://openalex.org/S84833568,0022-1503|1471-8505|1465-7333,13859,Oxford University Press
JOURNAL OF HERPETOLOGY,Journal of Herpetology,https://openalex.org/S67795522,0022-1511|1937-2418,4801,The Society for the Study of Amphibians and Reptiles
JOURNAL OF HETEROCYCLIC CHEMISTRY,Journal of Heterocyclic Chemistry,https://openalex.org/S46134040,0022-152X|1943-5193,17119,Wiley
JOURNAL OF HEURISTICS,Journal of Heuristics,https://openalex.org/S111418578,1381-1231|1572-9397,786,Springer Science+Business Media
JOURNAL OF HIGH ENERGY ASTROPHYSICS,Journal of High Energy Astrophysics,https://openalex.org/S2898380114,2214-4048|2214-4056,208,Elsevier BV
JOURNAL OF HIGH ENERGY PHYSICS,Journal of High Energy Physics,https://openalex.org/S187585107,1029-8479|1126-6708|1127-2236,38242,Springer Nature
JOURNAL OF HIP PRESERVATION SURGERY,Journal of Hip Preservation Surgery,https://openalex.org/S2735648559,2054-8397,618,Oxford University Press
JOURNAL OF HISTOCHEMISTRY & CYTOCHEMISTRY,Journal of Histochemistry & Cytochemistry,https://openalex.org/S30841621,0022-1554|1551-5044,9500,SAGE Publishing
JOURNAL OF HISTOTECHNOLOGY,Journal of Histotechnology,https://openalex.org/S185768630,0147-8885|2046-0236,3578,Taylor & Francis
JOURNAL OF HOMOTOPY AND RELATED STRUCTURES,Journal of Homotopy and Related Structures,https://openalex.org/S2479175659,2193-8407,343,Springer Science+Business Media
JOURNAL OF HOSPITAL INFECTION,Journal of Hospital Infection,https://openalex.org/S87161179,0195-6701|1532-2939,10448,Elsevier BV
JOURNAL OF HOSPITAL MEDICINE,Journal of Hospital Medicine,https://openalex.org/S193300644,1553-5592|1553-5606,3299,Wiley
JOURNAL OF HUMAN EVOLUTION,Journal of Human Evolution,https://openalex.org/S83388334,0047-2484|1095-8606,5527,Elsevier BV
JOURNAL OF HUMAN GENETICS,Journal of Human Genetics,https://openalex.org/S31156748,1434-5161|1435-232X,3538,Springer Nature
JOURNAL OF HUMAN HYPERTENSION,Journal of Human Hypertension,https://openalex.org/S193501741,0950-9240|1476-5527,3966,Springer Nature
JOURNAL OF HUMAN KINETICS,Journal of Human Kinetics,https://openalex.org/S128560994,1640-5544|1899-7562,1500,De Gruyter Open
JOURNAL OF HUMAN LACTATION,Journal of Human Lactation,https://openalex.org/S84590487,0890-3344|1552-5732,5030,SAGE Publishing
JOURNAL OF HUMAN NUTRITION AND DIETETICS,Journal of Human Nutrition and Dietetics,https://openalex.org/S86419656,0952-3871|1365-277X,3259,Wiley
JOURNAL OF HYDRAULIC ENGINEERING,Journal of Hydraulic Engineering,https://openalex.org/S92829914,0733-9429|1943-7900,11195,American Society of Civil Engineers
JOURNAL OF HYDRAULIC RESEARCH,Journal of Hydraulic Research,https://openalex.org/S81547547,0022-1686|1814-2079,3903,Taylor & Francis
JOURNAL OF HYDRO-ENVIRONMENT RESEARCH,Journal of Hydro-environment Research,https://openalex.org/S72160414,1570-6443|1876-4444,754,Elsevier BV
JOURNAL OF HYDRODYNAMICS,Journal of Hydrodynamics,https://openalex.org/S149305196,1001-6058|1878-0342,2867,Elsevier BV
JOURNAL OF HYDROINFORMATICS,Journal of Hydroinformatics,https://openalex.org/S79392371,1464-7141|1465-1734,1317,IWA Publishing
JOURNAL OF HYDROLOGIC ENGINEERING,Journal of Hydrologic Engineering,https://openalex.org/S109720773,1084-0699|1943-5584,3262,American Society of Civil Engineers
JOURNAL OF HYDROLOGY,Journal of Hydrology,https://openalex.org/S55737203,0022-1694|1879-2707,23606,Elsevier BV
JOURNAL OF HYDROLOGY AND HYDROMECHANICS,Journal of Hydrology and Hydromechanics,https://openalex.org/S121082865,0042-790X|1338-4333,549,De Gruyter Open
JOURNAL OF HYDROMETEOROLOGY,Journal of Hydrometeorology,https://openalex.org/S37844757,1525-7541|1525-755X,2668,American Meteorological Society
JOURNAL OF HYMENOPTERA RESEARCH,Journal of Hymenoptera Research,https://openalex.org/S158789388,1070-9428|1314-2607,999,Pensoft Publishers
JOURNAL OF HYPERBOLIC DIFFERENTIAL EQUATIONS,Journal of Hyperbolic Differential Equations,https://openalex.org/S18595207,0219-8916|1793-6993,540,World Scientific
JOURNAL OF HYPERTENSION,Journal of Hypertension,https://openalex.org/S115964404,0263-6352|1473-5598,36214,Lippincott Williams & Wilkins
JOURNAL OF IBERIAN GEOLOGY,Journal of Iberian Geology,https://openalex.org/S196682830,1698-6180|1886-7995|1887-0082,487,Springer International Publishing
JOURNAL OF ICHTHYOLOGY,Journal of Ichthyology,https://openalex.org/S189413238,0032-9452|1555-6425,1942,Pleiades Publishing
JOURNAL OF IMAGING INFORMATICS IN MEDICINE,Journal of Imaging Informatics in Medicine,https://openalex.org/S4393920007,2948-2925|2948-2933,0,
JOURNAL OF IMAGING SCIENCE AND TECHNOLOGY,Journal of Imaging Science and Technology,https://openalex.org/S69196262,1062-3701|1943-3522,1134,Society for Imaging Science and Technology
JOURNAL OF IMMUNOLOGICAL METHODS,Journal of Immunological Methods,https://openalex.org/S201669150,0022-1759|1872-7905,13847,Elsevier BV
JOURNAL OF IMMUNOLOGY RESEARCH,Journal of Immunology Research,https://openalex.org/S4210178340,2314-7156|2314-8861,2740,Hindawi Publishing Corporation
JOURNAL OF IMMUNOTHERAPY,Journal of Immunotherapy,https://openalex.org/S177451610,1524-9557|1537-4513,3221,Lippincott Williams & Wilkins
JOURNAL OF IMMUNOTOXICOLOGY,Journal of Immunotoxicology,https://openalex.org/S82112532,1547-691X|1547-6901,701,Informa
JOURNAL OF INCLUSION PHENOMENA AND MACROCYCLIC CHEMISTRY,Journal of Inclusion Phenomena and Macrocyclic Chemistry,https://openalex.org/S4210186015,1388-3127|1573-1111,974,Springer Science+Business Media
JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,Journal of Industrial and Engineering Chemistry,https://openalex.org/S145420111,1226-086X|1876-794X,7523,Elsevier BV
JOURNAL OF INDUSTRIAL AND MANAGEMENT OPTIMIZATION,Journal of Industrial and Management Optimization,https://openalex.org/S114365116,1547-5816|1553-166X,1974,American Institute of Mathematical Sciences
JOURNAL OF INDUSTRIAL ECOLOGY,Journal of Industrial Ecology,https://openalex.org/S203731762,1088-1980|1530-9290,2704,Wiley
JOURNAL OF INDUSTRIAL INFORMATION INTEGRATION,Journal of Industrial Information Integration,https://openalex.org/S2898195457,2452-414X|2467-964X,338,Elsevier BV
JOURNAL OF INDUSTRIAL MICROBIOLOGY & BIOTECHNOLOGY,Journal of Industrial Microbiology & Biotechnology,https://openalex.org/S107262989,1367-5435|1476-5535,3645,Springer Science+Business Media
JOURNAL OF INDUSTRIAL TEXTILES,Journal of Industrial Textiles,https://openalex.org/S154255560,1528-0837|1530-8057,1678,SAGE Publishing
JOURNAL OF INEQUALITIES AND APPLICATIONS,Journal of Inequalities and Applications,https://openalex.org/S51920167,1025-5834|1029-242X,5054,Springer Science+Business Media
JOURNAL OF INFECTION,Journal of Infection,https://openalex.org/S19579164,0163-4453|1532-2742,9901,Elsevier BV
JOURNAL OF INFECTION AND CHEMOTHERAPY,Journal of Infection and Chemotherapy,https://openalex.org/S141781860,1341-321X|1437-7780,3682,Elsevier BV
JOURNAL OF INFECTION AND PUBLIC HEALTH,Journal of Infection and Public Health,https://openalex.org/S53706017,1876-0341|1876-035X,2394,Elsevier BV
JOURNAL OF INFLAMMATION RESEARCH,Journal of Inflammation Research,https://openalex.org/S176681491,1178-7031,1504,Dove Medical Press
JOURNAL OF INFORMATION DISPLAY,Journal of Information Display,https://openalex.org/S2764415853,1598-0316|2158-1606,657,Taylor & Francis
JOURNAL OF INFORMATION SCIENCE,Journal of Information Science,https://openalex.org/S68913162,0165-5515|1741-6485,3170,SAGE Publishing
JOURNAL OF INFORMATION SCIENCE AND ENGINEERING,Journal of information science and engineering,https://openalex.org/S106179100,1016-2364,2347,Institute of Information Science
JOURNAL OF INFORMATION SECURITY AND APPLICATIONS,Journal of Information Security and Applications,https://openalex.org/S4210191536,2214-2126|2214-2134,1154,Elsevier BV
JOURNAL OF INFORMATION TECHNOLOGY,Journal of Information Technology,https://openalex.org/S135086714,0268-3962|1466-4437,1800,SAGE Publishing
JOURNAL OF INFORMETRICS,Journal of Informetrics,https://openalex.org/S205292342,1751-1577|1875-5879,1362,Elsevier BV
JOURNAL OF INFRARED AND MILLIMETER WAVES,JOURNAL OF INFRARED AND MILLIMETER WAVES,https://openalex.org/S83040158,1001-9014,2535,Science Press
JOURNAL OF INFRARED MILLIMETER AND TERAHERTZ WAVES,Journal of Infrared Millimeter and Terahertz Waves,https://openalex.org/S120213556,1866-6892|1866-6906,1482,Springer Science+Business Media
JOURNAL OF INFRASTRUCTURE SYSTEMS,Journal of Infrastructure Systems,https://openalex.org/S54853311,1076-0342|1943-555X,1212,American Society of Civil Engineers
JOURNAL OF INHERITED METABOLIC DISEASE,Journal of Inherited Metabolic Disease,https://openalex.org/S186577254,0141-8955|1573-2665,6547,Springer Science+Business Media
JOURNAL OF INNATE IMMUNITY,Journal of Innate Immunity,https://openalex.org/S161267757,1662-811X|1662-8128,864,Karger Publishers
JOURNAL OF INNOVATIVE OPTICAL HEALTH SCIENCES,Journal of Innovative Optical Health Sciences,https://openalex.org/S26825860,1793-7205|1793-5458,895,World Scientific
JOURNAL OF INORGANIC AND ORGANOMETALLIC POLYMERS AND MATERIALS,Journal of Inorganic and Organometallic Polymers and Materials,https://openalex.org/S22507861,1574-1443|1574-1451,3649,Springer Science+Business Media
JOURNAL OF INORGANIC BIOCHEMISTRY,Journal of Inorganic Biochemistry,https://openalex.org/S155362585,0162-0134|1873-3344,11798,Elsevier BV
JOURNAL OF INORGANIC MATERIALS,Journal of Inorganic Materials,https://openalex.org/S145528006,1000-324X,7984,Science Press
JOURNAL OF INSECT BEHAVIOR,Journal of Insect Behavior,https://openalex.org/S142362986,0892-7553|1572-8889,1939,Springer Science+Business Media
JOURNAL OF INSECT CONSERVATION,Journal of Insect Conservation,https://openalex.org/S92632373,1366-638X|1572-9753,1827,Springer Science+Business Media
JOURNAL OF INSECT PHYSIOLOGY,Journal of Insect Physiology,https://openalex.org/S98276404,0022-1910|1879-1611,9948,Elsevier BV
JOURNAL OF INSECT SCIENCE,Journal of Insect Science,https://openalex.org/S4210188975,1536-2442,2583,Oxford University Press
JOURNAL OF INSECTS AS FOOD AND FEED,Journal of Insects as Food and Feed,https://openalex.org/S4210238745,2352-4588,577,
JOURNAL OF INSTRUMENTATION,Journal of Instrumentation,https://openalex.org/S116045149,1748-0221,9863,Institute of Physics
JOURNAL OF INTEGRAL EQUATIONS AND APPLICATIONS,Journal of Integral Equations and Applications,https://openalex.org/S19588534,0897-3962|1938-2626,821,
JOURNAL OF INTEGRATED PEST MANAGEMENT,Journal of Integrated Pest Management,https://openalex.org/S2734996914,2155-7470,314,Oxford University Press
JOURNAL OF INTEGRATIVE AGRICULTURE,Journal of Integrative Agriculture,https://openalex.org/S2491286908,2095-3119|2352-3425,3342,Elsevier BV
JOURNAL OF INTEGRATIVE AND COMPLEMENTARY MEDICINE,Journal of Integrative and Complementary Medicine,https://openalex.org/S4210171987,2768-3605|2768-3613,183,"Mary Ann Liebert, Inc."
JOURNAL OF INTEGRATIVE ENVIRONMENTAL SCIENCES,Journal of Integrative Environmental Sciences,https://openalex.org/S77979494,1943-815X|1943-8168,294,Taylor & Francis
JOURNAL OF INTEGRATIVE NEUROSCIENCE,Journal of Integrative Neuroscience,https://openalex.org/S137215245,0219-6352|1757-448X,1078,Imperial College Press
JOURNAL OF INTEGRATIVE PLANT BIOLOGY,Journal of Integrative Plant Biology,https://openalex.org/S58990993,1672-9072|1744-7909,6535,Wiley
JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,Journal of Intelligent & Fuzzy Systems,https://openalex.org/S179157397,1064-1246|1875-8967,10586,IOS Press
JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,Journal of Intelligent & Robotic Systems,https://openalex.org/S91329792,0921-0296|1573-0409,3710,Springer Science+Business Media
JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,Journal of Intelligent Information Systems,https://openalex.org/S36033921,0925-9902|1573-7675,1161,Springer Science+Business Media
JOURNAL OF INTELLIGENT MANUFACTURING,Journal of Intelligent Manufacturing,https://openalex.org/S161464388,0956-5515|1572-8145,2852,Springer Science+Business Media
JOURNAL OF INTELLIGENT MATERIAL SYSTEMS AND STRUCTURES,Journal of Intelligent Material Systems and Structures,https://openalex.org/S45331193,1045-389X|1530-8138,4779,SAGE Publishing
JOURNAL OF INTELLIGENT TRANSPORTATION SYSTEMS,Journal of Intelligent Transportation Systems,https://openalex.org/S172631016,1547-2442|1547-2450,705,Taylor & Francis
JOURNAL OF INTENSIVE CARE,Journal of Intensive Care,https://openalex.org/S2764383928,2052-0492,1445,BioMed Central
JOURNAL OF INTENSIVE CARE MEDICINE,Journal of Intensive Care Medicine,https://openalex.org/S27247405,0885-0666|1525-1489,2778,SAGE Publishing
JOURNAL OF INTERNAL MEDICINE,Journal of Internal Medicine,https://openalex.org/S29157290,0954-6820|1365-2796,6376,Wiley
JOURNAL OF INTERNATIONAL MEDICAL RESEARCH,Journal of International Medical Research,https://openalex.org/S62018274,0300-0605|1473-2300,9039,SAGE Publishing
JOURNAL OF INTERPROFESSIONAL CARE,Journal of Interprofessional Care,https://openalex.org/S40080443,1356-1820|1469-9567,3073,Taylor & Francis
JOURNAL OF INTERVENTIONAL CARDIAC ELECTROPHYSIOLOGY,Journal of Interventional Cardiac Electrophysiology,https://openalex.org/S75756335,1383-875X|1572-8595,3264,Springer Science+Business Media
JOURNAL OF INTERVENTIONAL CARDIOLOGY,Journal of Interventional Cardiology,https://openalex.org/S159787512,0896-4327|1540-8183,3071,Wiley
JOURNAL OF INVERSE AND ILL-POSED PROBLEMS,Journal of Inverse and Ill-Posed Problems,https://openalex.org/S79267003,0928-0219|1569-3945,1736,De Gruyter
JOURNAL OF INVERTEBRATE PATHOLOGY,Journal of Invertebrate Pathology,https://openalex.org/S115815424,0022-2011|1096-0805,7677,Elsevier BV
JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY,Journal of Investigational Allergology and Clinical Immunology,https://openalex.org/S5906035,1018-9068|1698-0808,854,ESMON Publicidad
JOURNAL OF INVESTIGATIVE DERMATOLOGY,Journal of Investigative Dermatology,https://openalex.org/S28607811,0022-202X|1523-1747,38742,Elsevier BV
JOURNAL OF INVESTIGATIVE MEDICINE,Journal of Investigative Medicine,https://openalex.org/S104415515,1081-5589|1708-8267,11708,SAGE Publishing
JOURNAL OF INVESTIGATIVE SURGERY,Journal of Investigative Surgery,https://openalex.org/S124607101,0894-1939|1521-0553,2573,Taylor & Francis
JOURNAL OF IRON AND STEEL RESEARCH INTERNATIONAL,Journal of Iron and Steel Research International,https://openalex.org/S23655555,2210-3988|1006-706X,3038,Springer Nature
JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,Journal of Irrigation and Drainage Engineering,https://openalex.org/S196009193,0733-9437|1943-4774,4097,American Society of Civil Engineers
JOURNAL OF KNOT THEORY AND ITS RAMIFICATIONS,Journal of Knot Theory and Its Ramifications,https://openalex.org/S55337115,0218-2165|1793-6527,2736,World Scientific
JOURNAL OF KOREAN ACADEMY OF NURSING,Journal of Korean Academy of Nursing,https://openalex.org/S123960215,2005-3673|2093-758X,2431,Korean Society of Nursing Science
JOURNAL OF KOREAN MEDICAL SCIENCE,Journal of Korean Medical Science,https://openalex.org/S11290066,1011-8934|1598-6357,7453,Korean Academy of Medical Sciences
JOURNAL OF KOREAN NEUROSURGICAL SOCIETY,Journal of Korean Neurosurgical Society,https://openalex.org/S205682708,1225-8245|1598-7876|2005-3711,5051,Korean Neurosurgical Society
JOURNAL OF LABORATORY MEDICINE,Journal of Laboratory Medicine,https://openalex.org/S4210192984,2567-9430|2567-9449,242,De Gruyter
JOURNAL OF LAND USE SCIENCE,Journal of Land Use Science,https://openalex.org/S195013635,1747-423X|1747-4248,448,Taylor & Francis
JOURNAL OF LAPAROENDOSCOPIC & ADVANCED SURGICAL TECHNIQUES,Journal of Laparoendoscopic & Advanced Surgical Techniques,https://openalex.org/S21837735,1092-6429|1557-9034,4570,"Mary Ann Liebert, Inc."
JOURNAL OF LASER APPLICATIONS,Journal of Laser Applications,https://openalex.org/S43468181,1042-346X|1938-1387,1982,Laser Institute of America
JOURNAL OF LAW AND THE BIOSCIENCES,Journal of Law and the Biosciences,https://openalex.org/S2734699278,2053-9711,415,Oxford University Press
JOURNAL OF LEUKOCYTE BIOLOGY,Journal of Leukocyte Biology,https://openalex.org/S199011235,0741-5400|1938-3673,10292,Oxford University Press
JOURNAL OF LIE THEORY,Journal of Lie theory,https://openalex.org/S31485498,0949-5932,257,Heldermann Verlag
JOURNAL OF LIGHTWAVE TECHNOLOGY,Journal of Lightwave Technology,https://openalex.org/S2307745,0733-8724|1558-2213,20846,Institute of Electrical and Electronics Engineers
JOURNAL OF LIMNOLOGY,Journal of Limnology,https://openalex.org/S128544920,1129-5767|1723-8633,1106,PAGEPress (Italy)
JOURNAL OF LIPID RESEARCH,Journal of Lipid Research,https://openalex.org/S11400418,0022-2275|1539-7262,12441,Elsevier BV
JOURNAL OF LIPOSOME RESEARCH,Journal of Liposome Research,https://openalex.org/S158583779,0898-2104|1532-2394,1227,Taylor & Francis
JOURNAL OF LOGIC AND COMPUTATION,Journal of Logic and Computation,https://openalex.org/S47057106,0955-792X|1465-363X,2100,Oxford University Press
JOURNAL OF LOGIC LANGUAGE AND INFORMATION,Journal of Logic Language and Information,https://openalex.org/S197419112,0925-8531|1572-9583,784,Springer Science+Business Media
JOURNAL OF LOGICAL AND ALGEBRAIC METHODS IN PROGRAMMING,Journal of Logical and Algebraic Methods in Programming,https://openalex.org/S4210169521,2352-2208|2352-2216,596,Elsevier BV
JOURNAL OF LOSS PREVENTION IN THE PROCESS INDUSTRIES,Journal of Loss Prevention in the Process Industries,https://openalex.org/S97378760,0950-4230|1873-3352,4429,Elsevier BV
JOURNAL OF LOW FREQUENCY NOISE VIBRATION AND ACTIVE CONTROL,Journal of Low Frequency Noise Vibration and Active Control,https://openalex.org/S4210169126,0263-0923,14,SAGE Publishing
JOURNAL OF LOW TEMPERATURE PHYSICS,Journal of Low Temperature Physics,https://openalex.org/S193112073,0022-2291|1573-7357,10860,Springer Science+Business Media
JOURNAL OF LOWER GENITAL TRACT DISEASE,Journal of Lower Genital Tract Disease,https://openalex.org/S6499114,1089-2591|1526-0976,2573,Lippincott Williams & Wilkins
JOURNAL OF LUMINESCENCE,Journal of Luminescence,https://openalex.org/S188673600,0022-2313|1872-7883,19281,Elsevier BV
JOURNAL OF MACHINE LEARNING RESEARCH,Journal of Machine Learning Research,https://openalex.org/S118988714,1532-4435|1533-7928,3208,The MIT Press
JOURNAL OF MAGNESIUM AND ALLOYS,Journal of Magnesium and Alloys,https://openalex.org/S2764981684,2213-9567,1197,Elsevier BV
JOURNAL OF MAGNETIC RESONANCE,Journal of Magnetic Resonance,https://openalex.org/S90573847,1090-7807|1096-0856,6703,Elsevier BV
JOURNAL OF MAGNETIC RESONANCE IMAGING,Journal of Magnetic Resonance Imaging,https://openalex.org/S132538424,1053-1807|1522-2586,10845,Wiley
JOURNAL OF MAGNETICS,Journal of Magnetics,https://openalex.org/S186059554,1226-1750|2233-6656,1539,The Korean Magnetics Society
JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,Journal of Magnetism and Magnetic Materials,https://openalex.org/S3649266,0304-8853|1873-4766,46266,Elsevier BV
JOURNAL OF MAMMALIAN EVOLUTION,Journal of Mammalian Evolution,https://openalex.org/S43476095,1064-7554|1573-7055,879,Springer Science+Business Media
JOURNAL OF MAMMALOGY,Journal of Mammalogy,https://openalex.org/S165569574,0022-2372|1545-1542,14958,Oxford University Press
JOURNAL OF MAMMARY GLAND BIOLOGY AND NEOPLASIA,Journal of Mammary Gland Biology and Neoplasia,https://openalex.org/S146336032,1083-3021|1573-7039,889,Springer Science+Business Media
JOURNAL OF MANAGED CARE & SPECIALTY PHARMACY,Journal of Managed Care & Specialty Pharmacy,https://openalex.org/S2764743878,2376-0540|2376-1032,1348,AMCP
JOURNAL OF MANAGEMENT IN ENGINEERING,Journal of Management in Engineering,https://openalex.org/S144495243,0742-597X|1943-5479,2670,American Society of Civil Engineers
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,Journal of Management Information Systems,https://openalex.org/S9954729,0742-1222|1557-928X,1711,Taylor & Francis
JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS,Journal of Manipulative and Physiological Therapeutics,https://openalex.org/S104377164,0161-4754|1532-6586,3250,Elsevier BV
JOURNAL OF MANUFACTURING PROCESSES,Journal of Manufacturing Processes,https://openalex.org/S120037611,1526-6125|2212-4616,4642,Elsevier BV
JOURNAL OF MANUFACTURING SYSTEMS,Journal of Manufacturing Systems,https://openalex.org/S201698446,0278-6125|1878-6642,3284,Elsevier BV
JOURNAL OF MANUFACTURING TECHNOLOGY MANAGEMENT,Journal of Manufacturing Technology Management,https://openalex.org/S144472306,1741-038X|1758-7786,1283,Emerald Publishing Limited
JOURNAL OF MAPS,Journal of Maps,https://openalex.org/S38233421,1744-5647,1449,Taylor & Francis
JOURNAL OF MARINE ENGINEERING AND TECHNOLOGY,Journal of Marine Engineering and Technology,https://openalex.org/S154600122,,42,
JOURNAL OF MARINE SCIENCE AND ENGINEERING,Journal of Marine Science and Engineering,https://openalex.org/S2736865057,2077-1312,6247,Multidisciplinary Digital Publishing Institute
JOURNAL OF MARINE SCIENCE AND TECHNOLOGY,Journal of Marine Science and Technology,https://openalex.org/S4210231370,0948-4280|1437-8213,1198,Springer Science+Business Media
JOURNAL OF MARINE SCIENCE AND TECHNOLOGY-TAIWAN,Journal of Marine Science and Technology-taiwan,https://openalex.org/S1018424404,,23,
JOURNAL OF MARINE SYSTEMS,Journal of Marine Systems,https://openalex.org/S195909765,0924-7963|1879-1573,3980,Elsevier BV
JOURNAL OF MASS SPECTROMETRY,Journal of Mass Spectrometry,https://openalex.org/S37349105,1076-5174|1096-9888,5588,Wiley
JOURNAL OF MASS SPECTROMETRY AND ADVANCES IN THE CLINICAL LAB,Journal of Mass Spectrometry and Advances in the Clinical Lab,https://openalex.org/S4210202914,2667-145X|2667-1468,105,Elsevier BV
JOURNAL OF MATERIAL CYCLES AND WASTE MANAGEMENT,Journal of Material Cycles and Waste Management,https://openalex.org/S111367495,1438-4957|1611-8227,1980,Springer Science+Business Media
JOURNAL OF MATERIALS CHEMISTRY A,Journal of Materials Chemistry A,https://openalex.org/S2764437742,2050-7496|2050-7488,28885,Royal Society of Chemistry
JOURNAL OF MATERIALS CHEMISTRY B,Journal of Materials Chemistry B,https://openalex.org/S2479884170,2050-750X|2050-7518,10319,Royal Society of Chemistry
JOURNAL OF MATERIALS CHEMISTRY C,Journal of Materials Chemistry C,https://openalex.org/S2500738039,2050-7526|2050-7534,18274,Royal Society of Chemistry
JOURNAL OF MATERIALS ENGINEERING AND PERFORMANCE,Journal of Materials Engineering and Performance,https://openalex.org/S70681891,1059-9495|1544-1024,10794,Springer Science+Business Media
JOURNAL OF MATERIALS IN CIVIL ENGINEERING,Journal of Materials in Civil Engineering,https://openalex.org/S111427844,0899-1561|1943-5533,6237,American Society of Civil Engineers
JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,Journal of Materials Processing Technology,https://openalex.org/S127530304,0924-0136|1873-4774,17467,Elsevier BV
JOURNAL OF MATERIALS SCIENCE,Journal of Materials Science,https://openalex.org/S26125866,0022-2461|1573-4803,43149,Springer Science+Business Media
JOURNAL OF MATERIOMICS,Journal of Materiomics,https://openalex.org/S2764607427,2352-8478|2352-8486,733,Elsevier BV
JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,Journal of Mathematical Analysis and Applications,https://openalex.org/S151579836,0022-247X|1096-0813,32538,Elsevier BV
JOURNAL OF MATHEMATICAL BIOLOGY,Journal of Mathematical Biology,https://openalex.org/S171842551,0303-6812|1432-1416,3494,Springer Science+Business Media
JOURNAL OF MATHEMATICAL CHEMISTRY,Journal of Mathematical Chemistry,https://openalex.org/S81624066,0259-9791|1572-8897,3459,Springer Science+Business Media
JOURNAL OF MATHEMATICAL ECONOMICS,Journal of Mathematical Economics,https://openalex.org/S202934171,0304-4068|1873-1538,2756,Elsevier BV
JOURNAL OF MATHEMATICAL FLUID MECHANICS,Journal of Mathematical Fluid Mechanics,https://openalex.org/S25826151,1422-6928|1422-6952,1056,Birkhäuser
JOURNAL OF MATHEMATICAL IMAGING AND VISION,Journal of Mathematical Imaging and Vision,https://openalex.org/S66221708,0924-9907|1573-7683,1638,Springer Science+Business Media
JOURNAL OF MATHEMATICAL INEQUALITIES,Journal of Mathematical Inequalities,https://openalex.org/S2480022913,1846-579X|1848-9575,1330,
JOURNAL OF MATHEMATICAL LOGIC,Journal of Mathematical Logic,https://openalex.org/S29890666,0219-0613|1793-6691,297,World Scientific
JOURNAL OF MATHEMATICAL PHYSICS,Journal of Mathematical Physics,https://openalex.org/S158241587,0022-2488|1089-7658|1527-2427,25246,American Institute of Physics
JOURNAL OF MATHEMATICAL PSYCHOLOGY,Journal of Mathematical Psychology,https://openalex.org/S126294776,0022-2496|1096-0880,2647,Elsevier BV
JOURNAL OF MATHEMATICAL SOCIOLOGY,Journal of Mathematical Sociology,https://openalex.org/S81521204,0022-250X|1545-5874,805,Taylor & Francis
JOURNAL OF MATHEMATICS,Journal of Mathematics,https://openalex.org/S2764668616,2314-4629|2314-4785,3939,Hindawi Publishing Corporation
JOURNAL OF MATHEMATICS AND MUSIC,Journal of Mathematics and Music,https://openalex.org/S198288194,1745-9737|1745-9745,272,Taylor & Francis
